,Date,Product_ID,Product_Category,Clicks,Sales,Price,Customer_Age,Customer_Gender,Region,Click_Count,Wait_Time,Browser,Marketing
0,2023-05-26,18,Basketball,6,0,140.5787843656813,29,Male,East,13,54,Chrome,0
1,2024-01-27,94,Basketball,47,0,190.3588322568198,44,Male,South,12,39,Edge,0
2,2023-11-10,63,Training,49,0,149.22395306214764,46,Male,West,5,129,Chrome,1
3,2023-05-30,84,Basketball,35,0,167.94482241159534,19,Male,East,9,70,Safari,0
4,2023-04-25,25,Training,14,0,137.28175218374503,46,Male,West,10,36,Firefox,1
5,2023-08-20,12,Training,27,0,175.0370478292945,57,Male,West,12,80,Chrome,1
6,2023-03-05,21,Basketball,26,1,89.54954196046442,26,Male,South,40,25,Firefox,0
7,2023-05-26,25,Basketball,33,0,81.48165075031838,45,Male,South,11,55,Firefox,1
8,2023-06-14,11,Basketball,37,0,188.94800731369546,54,Male,West,9,128,Firefox,1
9,2023-09-15,64,Training,35,0,154.02213145360676,40,Female,West,5,61,Edge,0
10,2024-01-09,73,Running,18,0,150.72883655873318,30,Female,South,8,79,Firefox,1
11,2023-05-11,50,Basketball,14,1,120.09428579426749,22,Female,South,35,16,Edge,0
12,2023-05-23,62,Training,22,0,106.50458889402657,49,Male,East,12,125,Chrome,1
13,2024-02-07,89,Training,15,0,133.35367917179582,45,Male,West,14,62,Firefox,1
14,2023-07-14,99,Basketball,43,0,68.08495241325006,32,Female,South,14,111,Chrome,1
15,2023-06-23,96,Training,7,1,118.20688416246617,41,Male,West,29,15,Edge,1
16,2023-07-12,49,Basketball,6,0,118.30515566982214,49,Male,East,6,44,Edge,0
17,2023-12-18,14,Training,12,0,130.75047694163976,38,Female,North,12,52,Safari,0
18,2023-10-28,1,Running,35,1,145.20284215508036,22,Female,West,31,12,Edge,1
19,2024-01-22,81,Training,12,0,193.59775489780432,54,Female,East,9,42,Safari,1
20,2023-12-03,25,Basketball,47,1,147.82536906376353,53,Male,North,46,15,Firefox,0
21,2023-08-23,59,Running,6,0,182.5587727930117,45,Female,West,6,115,Chrome,1
22,2023-11-16,72,Basketball,26,0,133.44557922037455,49,Female,East,12,93,Edge,0
23,2023-07-23,69,Training,9,0,144.0391823941235,40,Male,North,6,122,Chrome,1
24,2023-12-23,5,Running,11,0,60.47554296643544,33,Female,East,7,32,Safari,1
25,2023-03-06,99,Running,24,0,69.98955843266234,27,Male,East,11,48,Edge,1
26,2023-10-23,19,Training,32,0,136.95056527963095,46,Male,East,11,78,Edge,1
27,2023-10-06,23,Running,17,0,109.35693049370438,44,Male,East,9,129,Firefox,0
28,2024-01-23,9,Running,6,0,169.82157797982526,52,Male,North,5,80,Chrome,1
29,2023-04-02,94,Running,36,0,131.4766812311264,59,Male,South,6,68,Firefox,1
30,2023-04-12,50,Basketball,30,0,182.34365584270068,41,Female,East,11,99,Chrome,1
31,2023-08-01,16,Basketball,7,0,195.8497517693437,40,Female,North,12,43,Firefox,1
32,2023-08-19,33,Running,45,0,72.14527776822274,20,Male,East,10,57,Safari,0
33,2023-11-10,2,Training,46,0,109.22416274834399,53,Male,West,7,60,Firefox,0
34,2023-08-21,14,Training,17,0,149.74715378570463,31,Female,West,7,86,Chrome,1
35,2023-08-06,1,Basketball,25,1,95.82331331005246,21,Female,South,19,5,Chrome,1
36,2023-04-04,90,Training,49,0,90.05485065822427,59,Male,North,7,119,Chrome,0
37,2024-02-11,58,Running,41,0,172.0607840943255,49,Female,West,10,35,Edge,0
38,2023-04-08,89,Training,27,1,197.05677035881143,37,Male,North,37,11,Safari,1
39,2023-10-14,16,Basketball,11,0,166.0704996871222,34,Male,West,14,32,Edge,1
40,2023-12-29,79,Basketball,21,0,128.55149342061702,46,Female,North,7,38,Edge,0
41,2023-06-23,90,Running,32,0,116.3766847917972,56,Male,East,13,32,Firefox,0
42,2023-12-16,47,Basketball,34,1,130.94715807955475,49,Male,East,24,15,Edge,1
43,2023-06-27,44,Basketball,9,1,119.42595532816037,21,Female,West,24,6,Safari,1
44,2023-03-05,80,Basketball,28,1,125.4332085178502,41,Female,South,50,12,Firefox,0
45,2024-01-07,14,Training,11,0,80.51795757938416,59,Female,West,9,43,Edge,0
46,2023-07-29,93,Basketball,38,0,185.56129239639915,19,Male,West,5,130,Edge,1
47,2023-11-13,24,Training,46,0,163.18025022849022,31,Female,South,6,78,Safari,0
48,2023-05-12,55,Basketball,37,0,152.146613403983,57,Male,East,13,33,Safari,1
49,2023-12-25,15,Basketball,31,0,192.48874564617097,59,Male,East,7,77,Firefox,0
50,2023-02-26,83,Training,18,0,92.6591497869257,55,Male,West,9,101,Chrome,0
51,2023-10-12,72,Training,23,0,62.173911634042135,51,Male,North,8,40,Chrome,0
52,2023-11-04,34,Running,42,1,173.92079905329973,19,Female,West,19,27,Edge,0
53,2024-01-24,2,Running,16,0,199.76254454738825,53,Male,East,5,115,Chrome,0
54,2023-04-06,27,Training,7,1,136.7648657030299,23,Female,North,21,27,Safari,1
55,2024-01-18,74,Basketball,11,0,58.82140818690228,53,Female,South,10,62,Safari,0
56,2023-05-15,99,Running,39,0,167.07020602324118,39,Female,East,12,73,Firefox,1
57,2023-11-03,87,Training,29,1,61.06235732687623,22,Female,South,20,7,Edge,1
58,2023-03-19,72,Training,19,0,131.00209793889218,55,Female,East,8,117,Chrome,0
59,2023-09-06,92,Basketball,23,1,91.62987113157905,58,Female,East,20,24,Firefox,0
60,2023-05-04,23,Training,23,0,187.2540170888593,39,Female,North,13,124,Chrome,0
61,2023-04-03,68,Running,27,1,117.69968198892275,28,Female,East,26,24,Firefox,1
62,2024-02-07,14,Basketball,15,0,184.769502271783,48,Female,West,11,80,Chrome,1
63,2023-02-14,63,Training,25,0,94.86216278818513,59,Male,South,5,114,Chrome,0
64,2023-04-07,93,Training,38,1,108.10438757320269,46,Female,East,18,28,Safari,1
65,2023-05-29,65,Basketball,43,0,192.06787823706208,50,Male,West,8,41,Firefox,0
66,2023-10-30,68,Basketball,11,0,80.1971676397453,39,Male,South,11,96,Chrome,0
67,2023-12-19,63,Basketball,46,0,136.77517274767177,44,Male,West,8,109,Chrome,0
68,2023-08-22,96,Running,48,1,108.27654928401671,25,Female,East,28,19,Firefox,1
69,2023-09-18,97,Running,31,0,166.1250327603091,23,Female,West,5,104,Chrome,1
70,2023-03-28,90,Training,27,0,69.39445567570361,42,Male,South,7,68,Firefox,1
71,2023-07-24,81,Training,42,1,115.58224535070028,51,Female,South,21,23,Firefox,0
72,2023-09-02,87,Basketball,24,1,154.83989402678947,26,Male,South,29,19,Edge,1
73,2023-11-09,64,Training,31,0,111.05243525092396,53,Female,East,12,45,Edge,1
74,2024-01-29,32,Training,12,0,58.7797608913065,48,Female,North,8,121,Chrome,1
75,2023-12-13,79,Basketball,41,0,155.76683920030158,36,Male,West,14,100,Chrome,0
76,2023-11-10,13,Running,7,0,125.47974915274746,18,Female,South,5,47,Chrome,0
